Pro's video,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Label
0152_event_0,21.27,36.25,113.15,131.19,81.25,80.93,10.62,14.0,153.86,168.29,93.37,104.45,175.1,151.56,91.53,103.99,168.71,178.64,0
0156_event_0,46.01,50.39,140.22,144.99,78.69,92.15,15.52,2.45,155.95,169.18,90.0,99.16,167.91,156.8,102.09,104.04,177.69,175.6,0
0160_event_0,46.35,50.48,124.62,148.88,67.56,94.44,10.71,3.96,163.59,165.09,104.82,93.18,149.55,154.76,105.63,112.06,169.34,179.51,0
0169_event_0,1.04,1.91,77.01,118.94,77.7,93.91,1.74,23.12,156.04,151.75,88.26,100.12,172.65,157.78,99.09,102.09,179.93,177.07,0
0175_event_0,24.11,73.1,119.78,160.25,85.45,82.85,10.22,4.3,156.73,173.82,96.08,95.61,157.99,156.42,105.92,107.97,174.21,175.89,0
0176_event_0,22.27,40.87,100.01,124.7,79.24,87.01,1.51,3.18,177.4,178.67,88.49,105.26,169.17,150.71,102.34,104.04,173.19,175.75,0
0187_event_0,33.5,47.66,119.97,147.53,80.13,86.63,6.34,13.24,158.92,156.04,90.0,103.24,172.15,155.07,97.85,101.69,176.9,178.97,0
0188_event_0,33.27,42.24,112.38,136.79,82.48,80.75,3.37,13.8,166.61,171.41,90.0,106.77,174.94,147.33,95.06,105.9,178.3,175.6,0
0190_event_0,32.2,34.05,113.37,127.23,77.68,83.43,3.49,9.76,157.9,168.48,97.7,101.19,172.12,155.76,90.18,103.05,178.38,176.47,0
0195_event_0,39.29,48.37,139.91,128.36,88.26,82.65,12.36,2.66,159.37,173.62,83.61,105.48,165.74,160.96,110.66,93.56,173.59,179.59,0
0204_event_0,47.86,44.86,153.43,169.33,85.5,82.85,20.07,41.62,145.62,116.96,91.64,100.01,166.67,158.68,101.69,101.31,173.25,177.78,0
0208_event_0,31.92,54.34,112.83,146.31,76.15,86.37,4.76,5.6,164.48,179.58,90.95,106.54,163.93,152.74,105.12,100.72,176.82,172.59,0
0223_event_0,41.35,47.4,118.66,129.57,77.73,84.97,0.42,2.8,179.02,177.73,94.96,102.34,154.32,154.64,110.72,103.02,168.65,170.32,0
0224_event_0,31.67,41.47,114.98,124.95,76.56,84.44,6.76,0.97,163.58,176.74,97.98,101.02,159.32,148.63,102.7,110.34,164.94,174.18,0
0229_event_0,41.39,48.43,131.29,146.22,80.9,87.55,8.99,10.23,155.3,168.19,91.94,99.61,178.87,150.48,89.19,109.91,175.22,179.15,0
0231_event_0,25.87,53.51,115.56,147.93,76.56,90.91,13.13,3.51,164.13,167.76,96.01,96.52,159.52,161.14,104.47,102.34,171.87,178.15,0
0237_event_0,31.33,37.22,116.57,128.81,80.72,85.3,4.51,6.28,170.54,164.74,94.51,99.46,161.02,156.07,104.47,104.47,175.31,176.84,0
0244_event_0,59.17,33.63,141.15,123.49,80.57,90.81,1.41,0.94,174.81,83.92,97.52,91.1,167.71,160.46,94.76,108.43,176.97,177.51,0
0248_event_0,42.53,47.98,141.12,140.71,82.23,84.11,16.35,8.62,90.0,163.3,95.04,98.62,164.83,161.26,100.12,100.12,179.24,178.97,0
0256_event_0,22.47,39.65,98.49,127.95,74.32,90.98,1.7,2.68,177.72,179.9,93.99,100.71,163.81,157.09,102.2,102.2,172.84,177.53,0
0257_event_0,27.56,36.28,98.53,123.06,73.31,94.01,2.34,7.23,174.81,175.68,93.37,99.31,167.21,149.46,99.41,111.23,177.75,178.08,0
0268_event_0,48.22,52.68,140.11,141.27,78.93,86.83,12.95,1.76,165.28,160.56,104.82,89.42,157.54,164.78,97.64,105.8,174.67,176.04,0
0271_event_0,20.13,35.41,104.93,125.16,79.91,88.48,4.9,1.27,172.23,170.7,98.71,92.9,160.68,163.28,100.61,103.82,169.16,178.61,0
0273_event_0,46.75,63.95,138.39,168.69,79.89,93.11,11.75,11.63,154.15,144.46,92.96,94.04,171.91,149.34,95.13,116.62,176.16,169.4,0
0275_event_0,29.28,39.21,102.21,120.42,75.25,86.6,2.32,5.39,177.18,170.13,96.84,101.31,161.6,157.62,101.56,101.07,177.48,179.76,0
0276_event_0,41.96,46.78,120.58,129.49,79.14,90.4,0.51,7.69,176.29,164.44,99.27,91.19,167.0,170.15,93.73,98.65,175.79,179.44,0
0279_event_0,48.01,59.04,148.63,156.63,86.31,88.15,14.31,9.44,156.85,160.52,93.69,91.85,161.77,168.37,104.53,99.78,178.59,175.75,0
0281_event_0,43.58,57.43,137.58,150.07,82.31,85.39,11.69,7.25,149.44,138.37,91.68,100.62,168.85,159.92,99.46,99.46,177.89,177.89,0
0283_event_0,31.61,38.66,124.97,141.19,80.27,85.1,13.09,17.43,151.86,119.46,99.73,94.9,164.37,167.51,95.91,97.59,178.18,172.53,0
0285_event_0,31.36,33.47,106.49,118.5,75.75,84.36,0.62,0.67,176.91,171.09,97.91,101.98,161.97,149.59,100.12,108.43,177.79,172.18,0
0287_event_0,45.68,52.95,141.55,148.39,82.82,83.1,13.05,12.34,117.98,172.87,96.13,97.94,166.17,155.13,97.7,106.93,178.79,178.49,0
0297_event_0,44.69,52.8,144.42,143.37,87.56,79.27,12.17,11.31,156.49,161.3,95.04,98.13,162.86,160.98,102.09,100.89,177.0,178.36,0
0298_event_0,48.01,36.28,146.31,132.87,85.44,86.67,12.86,9.92,153.17,166.96,91.55,96.34,169.36,159.13,99.09,104.53,179.04,175.59,0
0302_event_0,28.64,35.14,111.8,126.55,77.15,87.12,6.01,4.29,171.47,164.88,96.01,99.73,164.83,157.14,99.16,103.13,173.22,179.56,0
0310_event_0,34.61,58.79,128.01,151.39,84.22,81.6,9.19,11.0,160.6,165.38,97.58,96.6,161.4,170.97,101.02,92.42,164.58,170.9,0
0328_event_0,25.24,38.51,98.59,123.29,81.38,82.43,8.02,2.35,178.75,172.07,92.71,103.48,165.74,137.22,101.55,119.3,164.05,173.53,0
0336_event_0,43.23,47.99,128.56,138.95,74.72,90.63,10.61,0.32,147.2,175.36,97.1,97.55,164.89,154.8,98.01,107.66,172.14,175.52,0
0338_event_0,40.98,54.3,147.34,161.05,77.85,88.32,28.51,18.43,145.93,143.67,96.71,97.13,156.79,161.19,106.5,101.69,169.21,178.44,0
0342_event_0,36.55,62.69,123.69,158.28,79.54,83.08,7.59,12.51,160.35,160.17,97.59,99.78,158.37,159.33,104.04,100.89,168.08,180.0,0
0351_event_0,46.62,64.97,172.2,156.15,88.94,81.79,36.64,9.4,1.04,9.27,88.92,100.35,160.83,179.6,110.25,80.05,172.31,142.07,0
0359_event_0,33.16,59.23,118.09,146.78,80.9,84.6,4.03,2.95,165.76,169.77,92.71,101.79,170.73,151.47,96.56,106.74,178.86,178.15,0
0363_event_0,16.76,14.47,103.03,102.74,72.31,89.7,13.97,1.42,73.25,170.9,101.54,96.45,162.5,161.33,95.96,102.22,178.15,179.04,0
0370_event_0,36.71,47.99,140.45,146.9,90.98,75.65,12.77,23.27,151.53,142.33,93.53,99.85,176.47,152.82,90.0,107.33,179.12,179.16,0
0372_event_0,41.47,43.04,123.75,139.74,77.81,89.84,4.46,6.85,165.32,178.7,89.88,102.46,173.89,145.79,96.22,111.75,177.81,169.49,0
0379_event_0,12.51,12.61,101.21,97.0,74.86,87.47,13.83,3.08,170.49,169.59,100.08,97.59,158.04,159.04,101.89,103.37,173.96,177.34,0
0384_event_0,25.65,34.88,103.03,124.7,70.99,81.03,6.39,8.79,171.71,172.78,94.8,113.18,158.24,137.28,106.96,109.54,175.03,160.88,0
0386_event_0,39.44,72.28,128.6,168.53,77.85,91.85,11.31,4.4,166.68,168.69,88.78,101.52,157.17,157.94,114.05,100.53,164.04,174.85,0
0392_event_0,22.78,30.96,111.99,126.03,78.98,91.16,10.23,3.9,163.75,178.62,95.12,94.74,167.94,148.69,96.94,116.57,169.17,179.34,0
0408_event_0,70.63,46.16,154.86,141.93,78.24,77.83,5.99,17.94,161.69,159.21,112.38,91.55,173.02,152.94,60.64,61.39,164.68,168.09,0
0416_event_0,54.54,50.71,142.82,145.78,80.12,71.76,8.16,23.31,169.0,153.91,74.41,77.47,165.85,168.22,119.74,114.3,161.94,159.93,0
0420_event_0,35.73,53.46,117.14,141.98,79.6,88.44,1.82,0.08,163.83,179.75,92.21,99.75,171.9,159.32,95.89,100.93,169.14,178.99,0
0422_event_0,38.56,33.32,122.94,123.06,74.44,92.52,9.94,2.77,179.93,157.87,94.96,98.09,153.6,163.92,111.45,97.99,165.85,179.41,0
0423_event_0,22.89,21.9,96.36,106.05,73.17,86.65,0.3,2.51,9.61,172.23,98.69,101.49,161.18,157.33,100.13,101.19,174.95,179.44,0
0434_event_0,63.9,34.18,176.72,129.56,80.49,86.35,32.32,9.04,157.85,151.47,100.67,92.49,165.34,163.84,93.99,103.67,178.99,175.83,0
0435_event_0,32.01,51.34,116.57,147.35,78.69,88.49,5.87,7.52,170.7,163.21,93.72,99.1,161.1,167.87,105.19,93.03,179.12,176.99,0
0439_event_0,21.27,24.87,98.94,115.18,73.67,87.0,4.0,3.31,122.94,157.75,94.58,104.75,173.97,151.36,91.46,103.89,178.47,177.19,0
0440_event_0,47.94,59.66,168.5,156.99,105.5,67.88,38.06,29.46,86.63,95.91,79.7,106.93,179.7,163.07,100.01,90.0,180.0,180.0,0
0442_event_0,70.39,39.87,176.05,149.27,77.78,89.83,35.78,19.57,137.91,139.65,99.21,93.18,158.69,161.89,102.09,104.93,174.43,178.74,0
0456_event_0,45.7,50.26,147.01,162.43,77.11,92.94,24.2,19.23,157.7,128.4,94.76,95.19,155.58,158.11,109.65,106.7,170.65,177.84,0
0462_event_0,25.24,38.51,110.94,129.84,74.65,92.71,11.05,1.38,168.28,163.77,95.04,97.59,167.83,161.45,97.13,100.95,175.82,179.17,0
0480_event_0,29.98,30.96,111.66,128.99,71.67,95.67,10.0,2.36,172.0,159.44,94.29,98.37,160.0,153.2,105.71,108.43,162.56,169.47,0
0484_event_0,52.41,61.97,152.64,151.41,86.99,84.65,13.24,4.79,158.63,165.14,90.0,98.37,167.91,157.6,102.09,104.04,176.65,178.06,0
0486_event_0,29.2,34.64,104.09,118.77,77.91,82.65,3.01,1.47,172.06,171.4,94.76,104.68,167.99,140.15,97.25,115.17,177.26,167.89,0
0487_event_0,29.58,58.24,111.45,147.75,79.86,91.67,2.01,2.16,172.65,164.99,94.13,94.34,165.46,157.43,100.41,108.23,179.29,176.79,0
0492_event_0,58.17,48.98,145.3,149.44,80.23,89.39,6.91,11.06,170.54,149.21,101.0,89.38,159.95,163.4,99.05,107.22,175.0,175.61,0
0494_event_0,111.8,63.43,108.71,111.8,24.08,151.93,27.17,32.84,168.47,170.73,114.08,61.93,134.38,135.61,111.54,73.69,148.77,151.42,0
0498_event_0,38.16,57.53,144.55,177.79,85.24,86.82,21.15,33.44,151.72,116.05,94.76,93.18,159.29,165.51,105.95,101.31,175.01,177.74,0
0501_event_0,56.84,42.14,159.5,147.53,82.5,84.96,20.16,20.44,161.46,152.73,94.64,97.91,175.36,164.97,90.0,97.13,180.0,178.7,0
0506_event_0,57.43,53.13,141.21,131.63,79.7,91.09,4.09,12.59,122.78,127.75,90.0,99.21,169.38,160.17,100.62,100.62,178.84,177.05,0
0512_event_0,45.3,47.96,132.3,143.97,78.8,90.48,8.21,5.53,179.85,150.95,95.19,95.53,156.37,163.16,108.43,101.31,172.87,178.47,0
0521_event_0,10.62,17.99,90.0,102.67,74.62,81.65,4.76,3.03,6.71,167.33,101.1,102.63,167.33,154.32,91.57,103.05,175.36,176.56,0
0522_event_0,38.27,73.38,142.03,177.81,72.91,96.46,30.85,12.35,137.49,164.53,98.1,92.53,168.59,162.35,93.31,105.12,178.59,177.74,0
0532_event_0,36.87,36.87,130.05,123.69,82.09,82.09,11.09,4.73,148.75,176.84,97.91,97.91,161.6,159.1,100.49,102.99,177.64,176.49,0
0538_event_0,37.87,50.08,119.29,142.42,75.51,90.69,5.91,1.65,174.41,173.45,93.18,100.62,159.58,155.81,107.24,103.57,172.54,172.55,0
0542_event_0,17.22,17.29,101.31,97.94,79.33,77.47,4.76,3.18,169.22,177.99,94.76,108.43,161.67,143.69,103.57,107.88,178.41,168.83,0
0545_event_0,29.93,37.23,148.1,134.86,76.72,86.46,41.45,11.17,110.87,157.85,92.79,104.04,170.5,156.5,96.71,99.46,175.14,177.45,0
0551_event_0,41.93,45.55,138.42,136.88,82.51,84.93,13.97,6.4,164.05,180.0,92.79,99.77,168.98,154.97,98.23,105.26,176.73,178.23,0
0561_event_0,19.98,26.57,132.6,123.69,85.6,81.57,27.02,15.55,129.08,169.51,98.8,94.03,158.5,163.44,102.7,102.53,165.19,176.44,0
0562_event_0,30.47,42.27,114.75,134.66,80.54,85.1,3.75,7.29,172.91,166.3,96.45,97.91,150.55,156.67,113.0,105.42,158.23,161.57,0
0564_event_0,23.9,25.44,115.12,113.76,86.27,76.39,4.95,11.94,162.95,168.3,98.13,99.21,151.73,157.65,110.14,103.13,163.68,170.56,0
0566_event_0,34.38,31.76,114.92,116.23,76.46,88.3,4.07,3.83,174.04,178.87,95.72,99.52,166.46,135.72,97.82,124.77,172.87,173.67,0
0579_event_0,9.46,26.08,94.24,113.85,80.54,76.26,4.24,11.51,146.51,179.09,90.0,113.2,174.05,142.77,95.95,104.04,179.16,172.45,0
0582_event_0,16.33,14.81,106.9,107.1,78.62,76.03,11.95,16.26,163.1,176.19,99.09,106.26,159.6,154.77,101.31,98.97,178.42,177.94,0
0584_event_0,38.73,51.98,114.25,138.43,87.0,80.91,11.47,5.55,177.74,174.7,85.24,106.86,170.73,148.07,104.04,105.07,178.06,172.78,0
0612_event_0,27.14,35.41,122.44,135.17,81.91,85.27,13.4,14.49,145.28,151.47,91.51,101.31,170.36,154.16,98.13,104.53,175.96,176.42,0
0618_event_0,77.37,27.41,174.81,123.22,89.52,76.56,7.91,19.25,162.65,155.45,93.82,100.09,160.4,163.37,105.77,96.53,175.91,169.38,0
0626_event_0,11.34,17.95,87.96,90.0,79.99,79.69,3.37,7.64,175.24,171.09,88.53,111.79,162.21,142.15,109.25,106.06,172.23,175.9,0
0630_event_0,33.27,49.81,138.3,145.01,86.49,79.49,18.54,15.71,156.41,162.65,88.32,105.71,176.49,161.02,95.19,93.27,176.31,178.58,0
0640_event_0,42.01,43.04,125.75,139.3,75.95,85.76,7.8,10.5,165.46,166.57,91.79,106.5,166.12,149.93,102.09,103.57,175.5,172.14,0
0656_event_0,48.28,50.3,143.58,141.91,83.99,85.05,11.31,6.56,136.22,167.3,90.0,100.95,170.54,152.79,99.46,106.26,177.69,168.31,0
0672_event_0,45.3,47.96,132.47,150.68,82.2,88.41,4.97,14.3,173.96,155.76,91.79,97.59,168.43,159.68,99.78,102.72,179.68,177.06,0
0674_event_0,39.09,55.3,131.58,150.26,80.08,88.67,12.41,6.28,163.37,163.53,95.6,95.65,166.12,158.44,98.28,105.91,170.2,174.49,0
0678_event_0,30.74,24.62,112.71,114.62,74.17,90.0,7.8,0.0,176.0,172.23,96.55,99.27,158.41,148.86,105.04,111.87,162.11,171.64,0
0682_event_0,24.8,51.74,104.22,140.3,80.91,85.11,1.5,3.45,174.7,173.74,94.51,99.46,168.36,156.5,97.13,104.04,176.17,171.87,0
0693_event_0,30.57,54.4,110.96,145.6,71.51,95.51,8.88,4.31,152.41,176.04,95.56,97.42,170.94,154.04,93.51,108.54,177.17,178.51,0
0701_event_0,30.81,50.69,111.36,133.49,75.46,90.32,5.09,7.52,173.63,174.75,101.27,92.94,157.83,159.44,100.89,107.61,175.31,176.09,0
0713_event_0,7.77,30.96,87.98,115.06,98.75,66.45,18.53,17.65,171.35,176.58,81.25,113.55,177.42,141.32,96.17,105.12,175.17,166.42,0
0731_event_0,40.5,48.54,122.74,142.94,79.22,89.86,3.01,4.54,171.03,170.84,96.83,94.09,161.28,158.06,101.89,107.85,173.75,175.75,0
0747_event_0,27.4,38.16,110.56,120.96,78.64,87.12,4.51,4.31,176.99,174.6,94.51,99.73,163.8,156.7,101.69,103.57,172.12,170.83,0
0755_event_0,38.66,41.88,112.17,128.03,71.36,91.21,2.15,5.06,179.07,170.93,96.55,100.89,162.14,159.25,101.31,99.87,173.26,177.26,0
0756_event_0,33.88,38.8,104.7,125.74,69.29,92.01,1.53,5.08,167.02,167.33,97.39,101.31,158.88,162.49,103.74,96.2,169.92,175.13,0
0763_event_0,31.39,58.12,117.78,148.85,77.93,88.82,8.45,1.91,164.3,170.76,90.82,102.43,158.67,158.66,110.51,98.91,169.21,176.03,0
0764_event_0,26.38,17.23,111.8,103.67,78.91,87.86,6.52,1.42,165.07,161.57,99.89,93.34,153.83,156.79,106.29,109.87,169.23,174.81,0
0773_event_0,42.82,58.15,129.96,150.37,79.77,93.11,7.37,0.9,168.11,167.47,89.3,97.82,170.48,158.06,100.22,104.12,178.69,179.42,0
0777_event_0,33.07,62.95,123.48,148.85,85.93,85.11,4.48,0.79,170.28,160.14,91.47,97.5,164.49,162.72,104.04,99.78,175.43,174.3,0
0781_event_0,48.75,50.28,145.99,146.56,81.93,98.03,15.3,1.75,151.41,168.44,94.94,85.09,167.36,165.0,97.7,109.91,170.2,178.5,0
0785_event_0,51.39,55.59,144.64,160.46,77.58,89.83,15.67,15.04,147.53,139.04,91.64,100.95,160.54,156.95,107.82,102.09,172.31,176.04,0
0789_event_0,44.02,55.67,126.25,147.72,82.23,86.76,0.0,5.29,164.05,169.77,90.0,101.0,167.91,156.9,102.09,102.09,174.49,177.0,0
0791_event_0,78.69,45.0,161.57,149.04,90.0,78.69,29.74,25.35,137.73,157.83,108.43,82.87,175.91,160.56,67.48,116.57,175.91,165.53,0
0796_event_0,21.48,21.43,124.47,114.11,81.69,76.78,21.3,15.9,165.25,154.67,104.62,96.91,161.57,172.51,93.81,90.58,178.45,175.6,0
0800_event_0,37.0,33.61,140.14,115.41,84.93,77.66,18.22,4.14,150.77,171.18,94.07,103.34,160.85,168.73,105.08,87.93,174.73,177.05,0
0801_event_0,40.29,39.04,134.71,116.17,90.52,70.93,3.9,6.19,152.94,171.7,87.45,111.1,159.05,152.18,113.5,96.73,173.09,172.69,0
0803_event_0,43.56,50.39,135.0,143.91,80.13,87.34,11.31,6.19,168.69,177.37,90.0,102.53,159.86,152.05,110.14,105.42,164.1,171.16,0
0822_event_0,27.16,30.09,128.02,122.47,79.92,86.05,20.94,6.34,160.05,163.3,97.7,96.34,152.17,155.78,110.14,107.88,165.06,176.59,0
0828_event_0,10.3,26.57,90.45,114.72,84.42,82.7,4.27,5.45,171.42,171.03,92.03,100.84,171.54,153.24,96.43,105.92,177.34,171.61,0
0829_event_0,22.88,36.55,123.82,138.81,77.74,92.54,23.2,9.73,135.55,171.03,93.37,96.36,169.38,159.32,97.25,104.32,176.51,172.99,0
0830_event_0,11.25,25.18,76.77,126.23,70.41,94.45,4.9,6.6,135.4,161.77,90.21,104.94,159.39,153.88,110.41,101.18,170.07,177.51,0
0836_event_0,27.99,44.69,137.12,152.43,81.06,87.97,28.07,19.77,53.97,39.09,95.08,95.89,166.8,152.72,98.11,111.4,175.74,170.61,0
0842_event_0,12.09,12.09,124.47,102.09,90.0,69.86,22.38,20.14,161.71,162.65,93.37,106.77,165.53,151.44,101.1,101.79,173.38,180.0,0
0844_event_0,53.32,46.29,148.55,135.33,85.76,81.86,9.46,7.19,165.96,169.55,90.0,102.38,169.29,154.29,100.71,103.32,177.19,179.92,0
0846_event_0,47.12,54.46,137.12,152.99,78.37,90.0,11.63,8.53,158.75,162.01,101.63,90.0,157.75,169.99,100.62,100.01,173.07,178.74,0
0849_event_0,41.47,40.33,128.32,136.83,75.37,89.56,11.47,6.94,162.99,166.98,98.85,96.22,163.93,162.1,97.22,101.68,178.99,175.91,0
0856_event_0,43.98,50.98,128.99,134.53,78.67,88.13,6.33,4.57,169.63,175.6,93.73,99.46,164.07,157.21,102.2,103.32,177.53,174.81,0
0859_event_0,37.53,63.22,119.88,147.44,80.74,83.71,1.61,0.51,163.69,177.78,93.73,101.82,164.96,155.18,101.31,102.99,179.11,178.89,0
0869_event_0,34.97,35.96,123.82,126.42,76.6,87.3,12.26,3.16,163.26,172.02,95.45,100.66,168.06,153.55,96.49,105.79,179.16,176.39,0
0875_event_0,23.5,34.87,103.58,124.33,76.5,89.82,3.58,0.36,162.39,149.04,90.0,103.67,170.27,154.13,99.73,102.2,176.44,169.54,0
0877_event_0,39.96,55.57,119.43,152.95,76.61,92.77,2.86,4.61,166.35,167.57,93.81,96.81,168.31,154.45,97.88,108.75,176.68,178.23,0
0885_event_0,48.42,57.72,142.58,156.16,84.29,89.19,9.87,9.25,156.1,173.91,90.0,96.52,168.31,167.95,101.69,95.53,178.44,171.96,0
0889_event_0,34.64,35.13,117.95,112.17,76.77,85.4,6.55,8.36,176.82,168.48,97.77,100.07,164.1,145.21,98.13,114.72,173.99,169.14,0
0893_event_0,12.89,15.83,102.89,117.54,77.11,84.09,12.89,17.61,154.94,162.39,107.76,91.04,173.5,155.66,78.74,113.3,173.12,179.35,0
0899_event_0,48.58,74.33,137.86,158.4,87.76,89.49,1.53,37.78,113.7,152.02,88.67,94.09,167.71,156.94,103.63,108.97,169.95,169.65,0
0907_event_0,34.92,40.88,144.64,134.71,77.96,81.91,31.76,11.92,124.08,158.0,95.19,104.93,165.34,155.29,99.46,99.78,174.94,173.84,0
0909_event_0,47.94,47.17,151.61,145.3,80.28,88.12,23.39,10.01,103.74,161.57,95.68,95.92,162.99,157.9,101.34,106.18,166.78,174.49,0
0911_event_0,49.21,57.83,139.7,153.23,77.56,91.62,12.93,3.78,166.96,161.77,97.87,92.95,158.71,164.79,103.42,102.25,169.61,179.58,0
0913_event_0,37.0,57.25,124.51,153.11,82.87,84.58,4.64,11.27,166.76,146.38,94.64,97.91,165.36,162.08,100.01,100.01,175.7,177.91,0
0919_event_0,33.05,50.65,103.34,139.74,80.91,86.22,10.62,2.87,148.99,167.76,96.71,96.17,169.7,153.99,93.6,109.84,171.66,173.78,0
0925_event_0,127.87,28.93,135.0,132.66,81.18,86.05,15.95,17.67,177.71,141.5,83.89,98.16,174.77,147.77,93.03,105.85,178.18,159.08,0
0933_event_0,37.64,53.71,103.29,153.77,77.54,93.05,11.88,7.01,149.28,153.19,94.33,95.08,170.07,151.61,95.6,113.31,172.99,170.39,0
0935_event_0,23.63,129.81,111.3,124.7,84.81,85.51,2.86,19.99,158.7,158.91,90.0,99.69,160.97,155.38,109.03,104.93,173.7,160.34,0
0947_event_0,31.24,57.21,108.43,148.71,77.2,89.56,0.0,1.93,171.47,169.51,94.09,99.15,163.3,150.06,102.61,110.78,168.66,171.15,0
0961_event_0,41.45,56.5,141.78,145.36,86.54,79.94,13.79,8.91,170.48,165.78,96.39,97.13,163.3,153.06,100.3,109.82,165.96,177.65,0
0969_event_0,48.03,51.6,133.61,139.57,80.98,85.8,4.6,2.17,176.99,171.03,95.41,97.82,166.07,155.64,98.53,106.54,171.9,177.4,0
0971_event_0,31.53,52.13,118.76,139.4,80.2,83.38,7.02,3.89,166.71,168.69,92.31,104.11,163.07,138.87,104.62,117.01,163.41,164.15,0
0975_event_0,55.06,50.23,144.42,133.06,75.89,89.4,13.47,6.57,166.17,177.58,100.74,93.97,156.42,159.94,102.84,106.09,173.64,178.8,0
0977_event_0,77.84,41.62,161.04,135.74,79.58,87.5,3.62,6.62,161.01,166.53,91.33,101.59,177.24,164.12,91.43,94.29,176.39,175.71,0
